%_node_ ______x1_____ ______x2_____ ______T______ ______q______
     91 +1.250000e-02 +1.707094e-02 +1.523475e+02 -1.939782e-10 +2.341141e+04
     92 +1.250000e-02 +1.707372e-02 +1.523471e+02 +3.190337e-10 +2.340038e+04
     93 +1.250000e-02 +1.749117e-02 +1.522999e+02 -3.396394e-10 +2.197655e+04
     94 +1.250000e-02 +1.749355e-02 +1.522996e+02 +1.766409e-09 +2.196978e+04
     95 +1.250000e-02 +1.791139e-02 +1.522548e+02 +1.533351e-09 +2.102081e+04
     96 +1.250000e-02 +1.791339e-02 +1.522546e+02 +9.691803e-10 +2.101738e+04
     97 +1.250000e-02 +1.833162e-02 +1.522112e+02 +1.415401e-09 +2.050321e+04
     98 +1.250000e-02 +1.833322e-02 +1.522111e+02 -9.990231e-10 +2.050196e+04
     99 +1.250000e-02 +1.875367e-02 +1.521682e+02 -1.125500e-09 +2.030958e+04
    100 +1.250000e-02 +1.875422e-02 +1.521681e+02 -1.065814e-10 +2.030947e+04
    101 +1.250000e-02 +1.897195e-02 +1.521461e+02 -1.946887e-10 +2.027564e+04
    102 +1.250000e-02 +1.917521e-02 +1.521255e+02 +5.456968e-10 +2.024443e+04
    103 +1.250000e-02 +1.917572e-02 +1.521254e+02 +9.492851e-10 +2.024433e+04
    104 +1.250000e-02 +1.959620e-02 +1.520830e+02 +1.094236e-09 +2.004220e+04
    105 +1.250000e-02 +1.959777e-02 +1.520829e+02 -4.931167e-10 +2.004085e+04
    106 +1.250000e-02 +2.001719e-02 +1.520414e+02 +1.226397e-09 +1.945213e+04
    107 +1.250000e-02 +2.001979e-02 +1.520411e+02 +1.529088e-09 +1.944694e+04
    108 +1.250000e-02 +2.044691e-02 +1.520007e+02 -6.608047e-10 +1.833427e+04
    109 +1.250000e-02 +2.045309e-02 +1.520001e+02 -3.680611e-10 +1.831460e+04
    110 +1.250000e-02 +2.087669e-02 +1.519629e+02 -5.840661e-10 +1.678839e+04
    111 +1.250000e-02 +2.088640e-02 +1.519621e+02 +3.566925e-10 +1.675023e+04
    112 +1.250000e-02 +2.130647e-02 +1.519287e+02 -8.384404e-11 +1.504267e+04
    113 +1.250000e-02 +2.131970e-02 +1.519277e+02 -1.543299e-09 +1.498839e+04
    114 +1.250000e-02 +2.173626e-02 +1.518982e+02 -2.131628e-10 +1.332392e+04
    115 +1.250000e-02 +2.175219e-02 +1.518971e+02 -1.050182e-09 +1.326296e+04
    116 +1.250000e-02 +2.219417e-02 +1.518696e+02 +1.705303e-10 +1.168767e+04
    117 +1.250000e-02 +2.220710e-02 +1.518689e+02 -2.029310e-09 +1.164534e+04
    118 +1.250000e-02 +2.265360e-02 +1.518444e+02 -2.256684e-09 +1.032535e+04
    119 +1.250000e-02 +2.266201e-02 +1.518440e+02 -1.205080e-09 +1.030319e+04
    120 +1.250000e-02 +2.311304e-02 +1.518220e+02 -1.881517e-09 +9.257134e+03
    121 +1.250000e-02 +2.311692e-02 +1.518218e+02 -3.268497e-10 +9.249316e+03
    122 +1.250000e-02 +2.350781e-02 +1.518044e+02 +1.023182e-10 +8.559879e+03
    123 +1.250000e-02 +2.357173e-02 +1.518017e+02 -2.162892e-09 +8.464560e+03
    124 +1.250000e-02 +2.357219e-02 +1.518017e+02 -1.216449e-09 +8.463881e+03
    125 +1.250000e-02 +2.357286e-02 +1.518016e+02 -2.106049e-09 +8.462910e+03
    126 +1.250000e-02 +2.392907e-02 +1.517870e+02 -2.066258e-09 +8.012018e+03
    127 +1.250000e-02 +2.428567e-02 +1.517730e+02 -7.815970e-10 +7.676310e+03
    128 +1.250000e-02 +2.428605e-02 +1.517730e+02 -1.779199e-09 +7.676001e+03
    129 +1.250000e-02 +2.428643e-02 +1.517730e+02 -2.910383e-09 +7.675692e+03
    130 +1.250000e-02 +2.464302e-02 +1.517595e+02 -1.347189e-09 +7.424521e+03

