%_node_ ______x1_____ ______x2_____ ______T______ ______q______
    126 +2.100000e-02 +5.000000e-03 +9.151799e+01 +2.491080e+03
    127 +2.100000e-02 +5.000000e-03 +9.151799e+01 +2.491080e+03
    128 +2.000000e-02 +5.000000e-03 +9.162300e+01 +2.497380e+03
    129 +1.900000e-02 +5.000000e-03 +9.155060e+01 +2.493036e+03
    130 +1.900000e-02 +5.000000e-03 +9.155060e+01 +2.493036e+03
    131 +1.900000e-02 +6.020540e-03 +9.131611e+01 +2.478966e+03
    132 +1.900000e-02 +7.041081e-03 +9.111373e+01 +2.466824e+03
    133 +1.900000e-02 +8.061621e-03 +9.093547e+01 +2.456128e+03
    134 +1.900000e-02 +9.082161e-03 +9.078237e+01 +2.446942e+03
    135 +1.900000e-02 +1.010270e-02 +9.065461e+01 +2.439277e+03
    136 +1.900000e-02 +1.112324e-02 +9.055218e+01 +2.433131e+03
    137 +1.900000e-02 +1.214378e-02 +9.047502e+01 +2.428501e+03
    138 +1.900000e-02 +1.316432e-02 +9.042306e+01 +2.425383e+03
    139 +1.900000e-02 +1.418486e-02 +9.039710e+01 +2.423826e+03
    140 +1.900000e-02 +1.418486e-02 +9.039710e+01 +2.423826e+03
    141 +1.800000e-02 +1.418486e-02 +9.039713e+01 +2.423828e+03
    142 +1.800000e-02 +1.418486e-02 +9.039713e+01 +2.423828e+03
    143 +1.800000e-02 +1.316432e-02 +9.042307e+01 +2.425384e+03
    144 +1.800000e-02 +1.214378e-02 +9.047503e+01 +2.428502e+03
    145 +1.800000e-02 +1.112324e-02 +9.055219e+01 +2.433132e+03
    146 +1.800000e-02 +1.010270e-02 +9.065463e+01 +2.439278e+03
    147 +1.800000e-02 +9.082161e-03 +9.078238e+01 +2.446943e+03
    148 +1.800000e-02 +8.061621e-03 +9.093550e+01 +2.456130e+03
    149 +1.800000e-02 +7.041081e-03 +9.111382e+01 +2.466829e+03
    150 +1.800000e-02 +6.020540e-03 +9.131614e+01 +2.478968e+03
    151 +1.800000e-02 +5.000000e-03 +9.153961e+01 +2.492376e+03
    152 +1.800000e-02 +5.000000e-03 +9.153961e+01 +2.492376e+03
    153 +1.700000e-02 +5.000000e-03 +9.156825e+01 +2.494095e+03
    154 +1.600000e-02 +5.000000e-03 +9.139614e+01 +2.483768e+03
    155 +1.600000e-02 +5.000000e-03 +9.139614e+01 +2.483768e+03
    156 +1.600000e-02 +5.990949e-03 +9.095540e+01 +2.457324e+03
    157 +1.600000e-02 +6.981897e-03 +9.055269e+01 +2.433161e+03
    158 +1.600000e-02 +7.972846e-03 +9.017213e+01 +2.410328e+03
    159 +1.600000e-02 +8.963795e-03 +8.981483e+01 +2.388890e+03
    160 +1.600000e-02 +9.954743e-03 +8.948093e+01 +2.368856e+03
    161 +1.600000e-02 +1.094569e-02 +8.917031e+01 +2.350219e+03
    162 +1.600000e-02 +1.193664e-02 +8.888280e+01 +2.332968e+03
    163 +1.600000e-02 +1.292759e-02 +8.861825e+01 +2.317095e+03
    164 +1.600000e-02 +1.391854e-02 +8.837648e+01 +2.302589e+03
    165 +1.600000e-02 +1.490949e-02 +8.815723e+01 +2.289434e+03
    166 +1.600000e-02 +1.590044e-02 +8.796019e+01 +2.277612e+03
    167 +1.600000e-02 +1.689138e-02 +8.778523e+01 +2.267114e+03
    168 +1.600000e-02 +1.788233e-02 +8.763223e+01 +2.257934e+03
    169 +1.600000e-02 +1.887328e-02 +8.750110e+01 +2.250066e+03
    170 +1.600000e-02 +1.986423e-02 +8.739179e+01 +2.243507e+03
    171 +1.600000e-02 +2.085518e-02 +8.730427e+01 +2.238256e+03
    172 +1.600000e-02 +2.184613e-02 +8.723848e+01 +2.234309e+03
    173 +1.600000e-02 +2.283708e-02 +8.719432e+01 +2.231659e+03
    174 +1.600000e-02 +2.382802e-02 +8.717247e+01 +2.230348e+03
    175 +1.600000e-02 +2.382802e-02 +8.717247e+01 +2.230348e+03
    176 +1.500000e-02 +2.382802e-02 +8.717243e+01 +2.230346e+03
    177 +1.500000e-02 +2.382802e-02 +8.717243e+01 +2.230346e+03
    178 +1.500000e-02 +2.283708e-02 +8.719429e+01 +2.231657e+03
    179 +1.500000e-02 +2.184613e-02 +8.723845e+01 +2.234307e+03
    180 +1.500000e-02 +2.085518e-02 +8.730424e+01 +2.238255e+03
    181 +1.500000e-02 +1.986423e-02 +8.739179e+01 +2.243507e+03
    182 +1.500000e-02 +1.887328e-02 +8.750113e+01 +2.250068e+03
    183 +1.500000e-02 +1.788233e-02 +8.763229e+01 +2.257937e+03
    184 +1.500000e-02 +1.689138e-02 +8.778525e+01 +2.267115e+03
    185 +1.500000e-02 +1.590044e-02 +8.796012e+01 +2.277607e+03
    186 +1.500000e-02 +1.490949e-02 +8.815712e+01 +2.289427e+03
    187 +1.500000e-02 +1.391854e-02 +8.837643e+01 +2.302586e+03
    188 +1.500000e-02 +1.292759e-02 +8.861825e+01 +2.317095e+03
    189 +1.500000e-02 +1.193664e-02 +8.888282e+01 +2.332969e+03
    190 +1.500000e-02 +1.094569e-02 +8.917033e+01 +2.350220e+03
    191 +1.500000e-02 +9.954743e-03 +8.948096e+01 +2.368857e+03
    192 +1.500000e-02 +8.963795e-03 +8.981486e+01 +2.388892e+03
    193 +1.500000e-02 +7.972846e-03 +9.017216e+01 +2.410330e+03
    194 +1.500000e-02 +6.981897e-03 +9.055277e+01 +2.433166e+03
    195 +1.500000e-02 +5.990949e-03 +9.095538e+01 +2.457323e+03
    196 +1.500000e-02 +5.000000e-03 +9.138777e+01 +2.483266e+03
    197 +1.500000e-02 +5.000000e-03 +9.138777e+01 +2.483266e+03
    198 +1.400000e-02 +5.000000e-03 +9.152677e+01 +2.491606e+03
    199 +1.300000e-02 +5.000000e-03 +9.144979e+01 +2.486987e+03
    200 +1.300000e-02 +5.000000e-03 +9.144979e+01 +2.486987e+03
    201 +1.300000e-02 +5.974313e-03 +9.117175e+01 +2.470305e+03
    202 +1.300000e-02 +6.948626e-03 +9.092044e+01 +2.455226e+03
    203 +1.300000e-02 +7.922940e-03 +9.069063e+01 +2.441438e+03
    204 +1.300000e-02 +8.897253e-03 +9.048361e+01 +2.429016e+03
    205 +1.300000e-02 +9.871566e-03 +9.029959e+01 +2.417975e+03
    206 +1.300000e-02 +1.084588e-02 +9.013855e+01 +2.408313e+03
    207 +1.300000e-02 +1.182019e-02 +9.000040e+01 +2.400024e+03
    208 +1.300000e-02 +1.279451e-02 +8.988508e+01 +2.393105e+03
    209 +1.300000e-02 +1.376882e-02 +8.979250e+01 +2.387550e+03
    210 +1.300000e-02 +1.474313e-02 +8.972262e+01 +2.383357e+03
    211 +1.300000e-02 +1.571745e-02 +8.967536e+01 +2.380522e+03
    212 +1.300000e-02 +1.669176e-02 +8.965156e+01 +2.379094e+03
    213 +1.300000e-02 +1.669176e-02 +8.965156e+01 +2.379094e+03
    214 +1.200000e-02 +1.669176e-02 +8.965152e+01 +2.379091e+03
    215 +1.200000e-02 +1.669176e-02 +8.965152e+01 +2.379091e+03
    216 +1.200000e-02 +1.571745e-02 +8.967534e+01 +2.380520e+03
    217 +1.200000e-02 +1.474313e-02 +8.972260e+01 +2.383356e+03
    218 +1.200000e-02 +1.376882e-02 +8.979248e+01 +2.387549e+03
    219 +1.200000e-02 +1.279451e-02 +8.988506e+01 +2.393104e+03
    220 +1.200000e-02 +1.182019e-02 +9.000038e+01 +2.400023e+03
    221 +1.200000e-02 +1.084588e-02 +9.013853e+01 +2.408312e+03
    222 +1.200000e-02 +9.871566e-03 +9.029957e+01 +2.417974e+03
    223 +1.200000e-02 +8.897253e-03 +9.048359e+01 +2.429015e+03
    224 +1.200000e-02 +7.922940e-03 +9.069061e+01 +2.441437e+03
    225 +1.200000e-02 +6.948626e-03 +9.092042e+01 +2.455225e+03
    226 +1.200000e-02 +5.974313e-03 +9.117169e+01 +2.470302e+03
    227 +1.200000e-02 +5.000000e-03 +9.144869e+01 +2.486921e+03
    228 +1.200000e-02 +5.000000e-03 +9.144869e+01 +2.486921e+03
    229 +1.100000e-02 +5.000000e-03 +9.152158e+01 +2.491295e+03
    230 +1.000000e-02 +5.000000e-03 +9.137997e+01 +2.482798e+03
    231 +1.000000e-02 +5.000000e-03 +9.137997e+01 +2.482798e+03
    232 +1.000000e-02 +6.026282e-03 +9.094004e+01 +2.456403e+03
    233 +1.000000e-02 +7.052564e-03 +9.053260e+01 +2.431956e+03
    234 +1.000000e-02 +8.078846e-03 +9.014875e+01 +2.408925e+03
    235 +1.000000e-02 +9.105128e-03 +8.978979e+01 +2.387388e+03
    236 +1.000000e-02 +1.013141e-02 +8.945582e+01 +2.367349e+03
    237 +1.000000e-02 +1.115769e-02 +8.914668e+01 +2.348801e+03
    238 +1.000000e-02 +1.218397e-02 +8.886221e+01 +2.331733e+03
    239 +1.000000e-02 +1.321026e-02 +8.860223e+01 +2.316134e+03
    240 +1.000000e-02 +1.423654e-02 +8.836657e+01 +2.301994e+03
    241 +1.000000e-02 +1.526282e-02 +8.815510e+01 +2.289306e+03
    242 +1.000000e-02 +1.628910e-02 +8.796767e+01 +2.278060e+03
    243 +1.000000e-02 +1.731538e-02 +8.780406e+01 +2.268244e+03
    244 +1.000000e-02 +1.834167e-02 +8.766398e+01 +2.259839e+03
    245 +1.000000e-02 +1.936795e-02 +8.754728e+01 +2.252837e+03
    246 +1.000000e-02 +2.039423e-02 +8.745387e+01 +2.247232e+03
    247 +1.000000e-02 +2.142051e-02 +8.738369e+01 +2.243021e+03
    248 +1.000000e-02 +2.244679e-02 +8.733669e+01 +2.240201e+03
    249 +1.000000e-02 +2.347308e-02 +8.731354e+01 +2.238812e+03
    250 +1.000000e-02 +2.347308e-02 +8.731354e+01 +2.238812e+03
    251 +9.000000e-03 +2.347308e-02 +8.731361e+01 +2.238817e+03
    252 +9.000000e-03 +2.347308e-02 +8.731361e+01 +2.238817e+03
    253 +9.000000e-03 +2.244679e-02 +8.733674e+01 +2.240204e+03
    254 +9.000000e-03 +2.142051e-02 +8.738376e+01 +2.243026e+03
    255 +9.000000e-03 +2.039423e-02 +8.745395e+01 +2.247237e+03
    256 +9.000000e-03 +1.936795e-02 +8.754733e+01 +2.252840e+03
    257 +9.000000e-03 +1.834167e-02 +8.766393e+01 +2.259836e+03
    258 +9.000000e-03 +1.731538e-02 +8.780396e+01 +2.268238e+03
    259 +9.000000e-03 +1.628910e-02 +8.796762e+01 +2.278057e+03
    260 +9.000000e-03 +1.526282e-02 +8.815509e+01 +2.289305e+03
    261 +9.000000e-03 +1.423654e-02 +8.836657e+01 +2.301994e+03
    262 +9.000000e-03 +1.321026e-02 +8.860223e+01 +2.316134e+03
    263 +9.000000e-03 +1.218397e-02 +8.886221e+01 +2.331732e+03
    264 +9.000000e-03 +1.115769e-02 +8.914668e+01 +2.348801e+03
    265 +9.000000e-03 +1.013141e-02 +8.945581e+01 +2.367349e+03
    266 +9.000000e-03 +9.105128e-03 +8.978979e+01 +2.387387e+03
    267 +9.000000e-03 +8.078846e-03 +9.014875e+01 +2.408925e+03
    268 +9.000000e-03 +7.052564e-03 +9.053261e+01 +2.431957e+03
    269 +9.000000e-03 +6.026282e-03 +9.094017e+01 +2.456410e+03
    270 +9.000000e-03 +5.000000e-03 +9.138384e+01 +2.483030e+03
    271 +9.000000e-03 +5.000000e-03 +9.138384e+01 +2.483030e+03
    272 +8.000000e-03 +5.000000e-03 +9.153917e+01 +2.492350e+03
    273 +7.000000e-03 +5.000000e-03 +9.147092e+01 +2.488255e+03
