%_node_ ______x1_____ ______x2_____ ______T______ ______q______
    115 +2.200000e-02 +1.337883e-02 +9.504407e+01 +2.702644e+03
    116 +2.200000e-02 +1.442618e-02 +9.492694e+01 +2.695616e+03
    117 +2.200000e-02 +1.442618e-02 +9.492694e+01 +2.695616e+03
    118 +2.100000e-02 +1.442618e-02 +9.492830e+01 +2.695698e+03
    119 +2.100000e-02 +1.442618e-02 +9.492830e+01 +2.695698e+03
    120 +2.100000e-02 +1.337883e-02 +9.504434e+01 +2.702660e+03
    121 +2.100000e-02 +1.233147e-02 +9.528138e+01 +2.716883e+03
    122 +2.100000e-02 +1.128412e-02 +9.563666e+01 +2.738200e+03
    123 +2.100000e-02 +1.023677e-02 +9.611130e+01 +2.766678e+03
    124 +2.100000e-02 +9.189413e-03 +9.670653e+01 +2.802392e+03
    125 +2.100000e-02 +8.142060e-03 +9.742371e+01 +2.845422e+03
    126 +2.100000e-02 +7.094706e-03 +9.826360e+01 +2.895816e+03
    127 +2.100000e-02 +6.047353e-03 +9.922372e+01 +2.953423e+03
    128 +2.100000e-02 +5.000000e-03 +1.003455e+02 +3.020730e+03
    129 +2.100000e-02 +5.000000e-03 +1.003455e+02 +3.020730e+03
    130 +2.000000e-02 +5.000000e-03 +1.007215e+02 +3.043289e+03
    131 +1.900000e-02 +5.000000e-03 +1.004455e+02 +3.026733e+03
    132 +1.900000e-02 +5.000000e-03 +1.004455e+02 +3.026733e+03
    133 +1.900000e-02 +5.969373e-03 +9.947361e+01 +2.968416e+03
    134 +1.900000e-02 +6.938747e-03 +9.862778e+01 +2.917667e+03
    135 +1.900000e-02 +7.908120e-03 +9.788588e+01 +2.873153e+03
    136 +1.900000e-02 +8.877494e-03 +9.725087e+01 +2.835052e+03
    137 +1.900000e-02 +9.846867e-03 +9.672245e+01 +2.803347e+03
    138 +1.900000e-02 +1.081624e-02 +9.629965e+01 +2.777979e+03
    139 +1.900000e-02 +1.178561e-02 +9.598156e+01 +2.758894e+03
    140 +1.900000e-02 +1.275499e-02 +9.576735e+01 +2.746041e+03
    141 +1.900000e-02 +1.372436e-02 +9.566050e+01 +2.739630e+03
    142 +1.900000e-02 +1.372436e-02 +9.566050e+01 +2.739630e+03
    143 +1.800000e-02 +1.372436e-02 +9.566019e+01 +2.739611e+03
    144 +1.800000e-02 +1.372436e-02 +9.566019e+01 +2.739611e+03
    145 +1.800000e-02 +1.275499e-02 +9.576745e+01 +2.746047e+03
    146 +1.800000e-02 +1.178561e-02 +9.598171e+01 +2.758902e+03
    147 +1.800000e-02 +1.081624e-02 +9.629981e+01 +2.777988e+03
    148 +1.800000e-02 +9.846867e-03 +9.672260e+01 +2.803356e+03
    149 +1.800000e-02 +8.877494e-03 +9.725103e+01 +2.835062e+03
    150 +1.800000e-02 +7.908120e-03 +9.788607e+01 +2.873164e+03
    151 +1.800000e-02 +6.938747e-03 +9.862815e+01 +2.917689e+03
    152 +1.800000e-02 +5.969373e-03 +9.947432e+01 +2.968459e+03
    153 +1.800000e-02 +5.000000e-03 +1.004437e+02 +3.026620e+03
    154 +1.800000e-02 +5.000000e-03 +1.004437e+02 +3.026620e+03
    155 +1.700000e-02 +5.000000e-03 +1.007042e+02 +3.042251e+03
    156 +1.600000e-02 +5.000000e-03 +1.002364e+02 +3.014183e+03
    157 +1.600000e-02 +5.000000e-03 +1.002364e+02 +3.014183e+03
    158 +1.600000e-02 +5.997640e-03 +9.885563e+01 +2.931338e+03
    159 +1.600000e-02 +6.995280e-03 +9.762231e+01 +2.857339e+03
    160 +1.600000e-02 +7.992919e-03 +9.649574e+01 +2.789745e+03
    161 +1.600000e-02 +8.990559e-03 +9.547865e+01 +2.728719e+03
    162 +1.600000e-02 +9.988199e-03 +9.456987e+01 +2.674192e+03
    163 +1.600000e-02 +1.098584e-02 +9.376754e+01 +2.626052e+03
    164 +1.600000e-02 +1.198348e-02 +9.306983e+01 +2.584190e+03
    165 +1.600000e-02 +1.298112e-02 +9.247507e+01 +2.548504e+03
    166 +1.600000e-02 +1.397876e-02 +9.198160e+01 +2.518896e+03
    167 +1.600000e-02 +1.497640e-02 +9.158741e+01 +2.495245e+03
    168 +1.600000e-02 +1.597404e-02 +9.129117e+01 +2.477470e+03
    169 +1.600000e-02 +1.697168e-02 +9.109227e+01 +2.465536e+03
    170 +1.600000e-02 +1.796932e-02 +9.099396e+01 +2.459638e+03
    171 +1.600000e-02 +1.796932e-02 +9.099396e+01 +2.459638e+03
    172 +1.500000e-02 +1.796932e-02 +9.099288e+01 +2.459573e+03
    173 +1.500000e-02 +1.796932e-02 +9.099288e+01 +2.459573e+03
    174 +1.500000e-02 +1.697168e-02 +9.109167e+01 +2.465500e+03
    175 +1.500000e-02 +1.597404e-02 +9.129053e+01 +2.477432e+03
    176 +1.500000e-02 +1.497640e-02 +9.158672e+01 +2.495203e+03
    177 +1.500000e-02 +1.397876e-02 +9.198108e+01 +2.518865e+03
    178 +1.500000e-02 +1.298112e-02 +9.247487e+01 +2.548492e+03
    179 +1.500000e-02 +1.198348e-02 +9.306977e+01 +2.584186e+03
    180 +1.500000e-02 +1.098584e-02 +9.376750e+01 +2.626050e+03
    181 +1.500000e-02 +9.988199e-03 +9.456983e+01 +2.674190e+03
    182 +1.500000e-02 +8.990559e-03 +9.547861e+01 +2.728716e+03
    183 +1.500000e-02 +7.992919e-03 +9.649576e+01 +2.789745e+03
    184 +1.500000e-02 +6.995280e-03 +9.762258e+01 +2.857355e+03
    185 +1.500000e-02 +5.997640e-03 +9.885631e+01 +2.931379e+03
    186 +1.500000e-02 +5.000000e-03 +1.002244e+02 +3.013464e+03
    187 +1.500000e-02 +5.000000e-03 +1.002244e+02 +3.013464e+03
    188 +1.400000e-02 +5.000000e-03 +1.006332e+02 +3.037992e+03
    189 +1.300000e-02 +5.000000e-03 +1.001955e+02 +3.011732e+03
    190 +1.300000e-02 +5.000000e-03 +1.001955e+02 +3.011732e+03
    191 +1.300000e-02 +6.019656e-03 +9.870167e+01 +2.922100e+03
    192 +1.300000e-02 +7.039313e-03 +9.734440e+01 +2.840664e+03
    193 +1.300000e-02 +8.058969e-03 +9.609695e+01 +2.765817e+03
    194 +1.300000e-02 +9.078625e-03 +9.496257e+01 +2.697754e+03
    195 +1.300000e-02 +1.009828e-02 +9.393975e+01 +2.636385e+03
    196 +1.300000e-02 +1.111794e-02 +9.302624e+01 +2.581574e+03
    197 +1.300000e-02 +1.213759e-02 +9.221980e+01 +2.533188e+03
    198 +1.300000e-02 +1.315725e-02 +9.151844e+01 +2.491106e+03
    199 +1.300000e-02 +1.417691e-02 +9.092039e+01 +2.455223e+03
    200 +1.300000e-02 +1.519656e-02 +9.042415e+01 +2.425449e+03
    201 +1.300000e-02 +1.621622e-02 +9.002847e+01 +2.401708e+03
    202 +1.300000e-02 +1.723588e-02 +8.973232e+01 +2.383939e+03
    203 +1.300000e-02 +1.825553e-02 +8.953460e+01 +2.372076e+03
    204 +1.300000e-02 +1.927519e-02 +8.943751e+01 +2.366250e+03
    205 +1.300000e-02 +1.927519e-02 +8.943751e+01 +2.366250e+03
    206 +1.200000e-02 +1.927519e-02 +8.943596e+01 +2.366158e+03
    207 +1.200000e-02 +1.927519e-02 +8.943596e+01 +2.366158e+03
    208 +1.200000e-02 +1.825553e-02 +8.953413e+01 +2.372048e+03
    209 +1.200000e-02 +1.723588e-02 +8.973223e+01 +2.383934e+03
    210 +1.200000e-02 +1.621622e-02 +9.002854e+01 +2.401712e+03
    211 +1.200000e-02 +1.519656e-02 +9.042425e+01 +2.425455e+03
    212 +1.200000e-02 +1.417691e-02 +9.092049e+01 +2.455230e+03
    213 +1.200000e-02 +1.315725e-02 +9.151854e+01 +2.491112e+03
    214 +1.200000e-02 +1.213759e-02 +9.221990e+01 +2.533194e+03
    215 +1.200000e-02 +1.111794e-02 +9.302632e+01 +2.581579e+03
    216 +1.200000e-02 +1.009828e-02 +9.393983e+01 +2.636390e+03
    217 +1.200000e-02 +9.078625e-03 +9.496265e+01 +2.697759e+03
    218 +1.200000e-02 +8.058969e-03 +9.609705e+01 +2.765823e+03
    219 +1.200000e-02 +7.039313e-03 +9.734462e+01 +2.840677e+03
    220 +1.200000e-02 +6.019656e-03 +9.870262e+01 +2.922157e+03
    221 +1.200000e-02 +5.000000e-03 +1.002130e+02 +3.012782e+03
    222 +1.200000e-02 +5.000000e-03 +1.002130e+02 +3.012782e+03
    223 +1.100000e-02 +5.000000e-03 +1.007076e+02 +3.042459e+03
    224 +1.000000e-02 +5.000000e-03 +1.002774e+02 +3.016646e+03
    225 +1.000000e-02 +5.000000e-03 +1.002774e+02 +3.016646e+03
    226 +1.000000e-02 +5.979816e-03 +9.863635e+01 +2.918181e+03
    227 +1.000000e-02 +6.959632e-03 +9.710343e+01 +2.826206e+03
    228 +1.000000e-02 +7.939448e-03 +9.567098e+01 +2.740259e+03
    229 +1.000000e-02 +8.919264e-03 +9.434263e+01 +2.660558e+03
    230 +1.000000e-02 +9.899080e-03 +9.311653e+01 +2.586992e+03
    231 +1.000000e-02 +1.087890e-02 +9.199011e+01 +2.519406e+03
    232 +1.000000e-02 +1.185871e-02 +9.096061e+01 +2.457637e+03
    233 +1.000000e-02 +1.283853e-02 +9.002524e+01 +2.401515e+03
    234 +1.000000e-02 +1.381834e-02 +8.918144e+01 +2.350886e+03
    235 +1.000000e-02 +1.479816e-02 +8.842723e+01 +2.305634e+03
    236 +1.000000e-02 +1.577798e-02 +8.776105e+01 +2.265663e+03
    237 +1.000000e-02 +1.675779e-02 +8.718156e+01 +2.230894e+03
    238 +1.000000e-02 +1.773761e-02 +8.668755e+01 +2.201253e+03
